recepie,ingredient,amount
Shrimp_Cocktail,Wild_Horseradish,1
Spaghetti,Wheat_Flour,1
Spaghetti,Tomato,1
Spicy_Eel,Eel,1
Spicy_Eel,Hot_Pepper,1
Squid_Ink_Ravioli,Squid_Ink,1
Squid_Ink_Ravioli,Wheat_Flour,1
Squid_Ink_Ravioli,Tomato,1
Stir_Fry,Cave_Carrot,1
Stir_Fry,Common_Mushroom,1
Stir_Fry,Kale,1
Stir_Fry,Oil,1
Strange_Bun,Wheat_Flour,1
Strange_Bun,Periwinkle,1
Strange_Bun,Void_Mayonnaise,1
Stuffing,Bread,1
Stuffing,Cranberries,1
Stuffing,Hazelnut,1
Super_Meal,Bok_Choy,1
Super_Meal,Cranberries,1
Super_Meal,Artichoke,1
Survival_Burger,Bread,1
Survival_Burger,Cave_Carrot,1
Survival_Burger,Eggplant,1
Tom_Kha_Soup,Coconut,1
Tom_Kha_Soup,Shrimp,1
Tom_Kha_Soup,Common_Mushroom,1
Tortilla,Corn,1
Triple_Shot_Espresso,Coffee,3
Tropical_Curry,Coconut,1
Tropical_Curry,Pineapple,1
Tropical_Curry,Hot_Pepper,1
Trout_Soup,Rainbow_Trout,1
Trout_Soup,Green_Algae,1
Vegetable_Medley,Tomato,1
Vegetable_Medley,Beet,1
